millis,stamp,datetime,moisture
220999, 1535053153, 2018/8/23 19:39:13, 0
221999, 1535053154, 2018/8/23 19:39:14, 19
222999, 1535053155, 2018/8/23 19:39:15, 9
223998, 1535053156, 2018/8/23 19:39:16, 113
224999, 1535053157, 2018/8/23 19:39:17, 397
225999, 1535053158, 2018/8/23 19:39:18, 538
226999, 1535053159, 2018/8/23 19:39:19, 545
227999, 1535053160, 2018/8/23 19:39:20, 538
228999, 1535053161, 2018/8/23 19:39:21, 539
229999, 1535053162, 2018/8/23 19:39:22, 535
230999, 1535053163, 2018/8/23 19:39:23, 530
231999, 1535053164, 2018/8/23 19:39:24, 526
232998, 1535053165, 2018/8/23 19:39:25, 507
233999, 1535053166, 2018/8/23 19:39:26, 513
234999, 1535053167, 2018/8/23 19:39:27, 502
235999, 1535053168, 2018/8/23 19:39:28, 499
236999, 1535053169, 2018/8/23 19:39:29, 489
238000, 1535053170, 2018/8/23 19:39:30, 416
238999, 1535053171, 2018/8/23 19:39:31, 323
240000, 1535053172, 2018/8/23 19:39:32, 228
240999, 1535053173, 2018/8/23 19:39:33, 224
241999, 1535053174, 2018/8/23 19:39:34, 222
242999, 1535053175, 2018/8/23 19:39:35, 191
243999, 1535053176, 2018/8/23 19:39:36, 46
244999, 1535053177, 2018/8/23 19:39:37, 0
245999, 1535053178, 2018/8/23 19:39:38, 0
247000, 1535053179, 2018/8/23 19:39:39, 0
247999, 1535053180, 2018/8/23 19:39:40, 538
248999, 1535053181, 2018/8/23 19:39:41, 537
249999, 1535053182, 2018/8/23 19:39:42, 537
250999, 1535053183, 2018/8/23 19:39:43, 529
251999, 1535053184, 2018/8/23 19:39:44, 521
252998, 1535053185, 2018/8/23 19:39:45, 508
254000, 1535053186, 2018/8/23 19:39:46, 509
254999, 1535053187, 2018/8/23 19:39:47, 499
255998, 1535053188, 2018/8/23 19:39:48, 447
256999, 1535053189, 2018/8/23 19:39:49, 411
257999, 1535053190, 2018/8/23 19:39:50, 0
